Entry	Gene names	Protein names	Annotation	Gene ontology (biological process)	Cross-reference (KEGG)	Cross-reference (Pfam)	EnsemblBacteria transcript	Cross-reference (BioCyc)
P0AEY1	marC ydeB ydeC b1529 JW1522	UPF0056 inner membrane protein MarC	2 out of 5		ecj:JW1522;eco:b1529;	PF01914;	AAC74602;BAA15211;	EcoCyc:EG11637-MONOMER;ECOL316407:JW1522-MONOMER;
P37353	menE b2260 JW2255	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)	4 out of 5	menaquinone biosynthetic process [GO:0009234]; protein homotetramerization [GO:0051289]	ecj:JW2255;eco:b2260;	PF00501;PF13193;	AAC75320;BAA16084;	EcoCyc:O-SUCCINYLBENZOATE-COA-LIG-MONOMER;ECOL316407:JW2255-MONOMER;MetaCyc:O-SUCCINYLBENZOATE-COA-LIG-MONOMER;
P76506	mlaA vacJ b2346 JW2343	Intermembrane phospholipid transport system lipoprotein MlaA	3 out of 5	intermembrane phospholipid transfer [GO:0120010]	ecj:JW2343;eco:b2346;	PF04333;	AAC75406;BAA16206;	EcoCyc:G7216-MONOMER;ECOL316407:JW2343-MONOMER;
P06721	metC b3008 JW2975	Cystathionine beta-lyase MetC (CBL) (CL) (EC 4.4.1.13) (Beta-cystathionase MetC) (Cysteine desulfhydrase MetC) (CD) (EC 4.4.1.28) (Cysteine lyase MetC) (Cysteine-S-conjugate beta-lyase MetC)	5 out of 5	L-cysteine catabolic process to pyruvate [GO:0019450]; methionine biosynthetic process [GO:0009086]; protein homotetramerization [GO:0051289]; transsulfuration [GO:0019346]	ecj:JW2975;eco:b3008;	PF01053;	AAC76044;BAE77065;	EcoCyc:CYSTATHIONINE-BETA-LYASE-MONOMER;ECOL316407:JW2975-MONOMER;MetaCyc:CYSTATHIONINE-BETA-LYASE-MONOMER;
P76329	yedP b1955 JW1938	Mannosyl-3-phosphoglycerate phosphatase (MPGP) (EC 3.1.3.70)	3 out of 5	mannosylglycerate biosynthetic process [GO:0051479]	ecj:JW1938;eco:b1955;		AAC75021;BAE76555;	EcoCyc:G7048-MONOMER;ECOL316407:JW1938-MONOMER;
P41036	nanT b3224 JW3193	Sialic acid transporter NanT (Sialic acid permease) (Sialic acid/H(+) symporter)	5 out of 5	carboxylic acid transport [GO:0046942]; sialic acid transport [GO:0015739]	ecj:JW3193;eco:b3224;	PF07690;	AAC76256;BAE77267;	EcoCyc:NANT-MONOMER;ECOL316407:JW3193-MONOMER;MetaCyc:NANT-MONOMER;
P60293	mukF kicB b0922 JW0905	Chromosome partition protein MukF (Protein KicB)	4 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome condensation [GO:0030261]; chromosome segregation [GO:0007059]; DNA replication [GO:0006260]	ecj:JW0905;eco:b0922;	PF03882;PF17193;PF17192;	AAC74008;BAA35668;	EcoCyc:EG12165-MONOMER;ECOL316407:JW0905-MONOMER;
P76773	ompL yshA b3875 JW3846	Porin OmpL	4 out of 5	arabinose transmembrane transport [GO:0015751]; galactose transmembrane transport [GO:0015757]; glucose import [GO:0046323]; ion transport [GO:0006811]; oligosaccharide transport [GO:0015772]	ecj:JW3846;eco:b3875;	PF06178;	AAC76872;BAE77434;	EcoCyc:G7814-MONOMER;ECOL316407:JW3846-MONOMER;
P23837	phoQ b1129 JW1115	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)	5 out of 5	cellular response to magnesium starvation [GO:0010350]; osmosensory signaling via phosphorelay pathway [GO:0007234]; phosphorelay signal transduction system [GO:0000160]; protein autophosphorylation [GO:0046777]; signal transduction by protein phosphorylation [GO:0023014]	ecj:JW1115;eco:b1129;	PF02518;PF08918;	AAC74213;BAA35951;	EcoCyc:PHOQ-MONOMER;ECOL316407:JW1115-MONOMER;
P08400	phoR nmpB b0400 JW0390	Phosphate regulon sensor protein PhoR (EC 2.7.13.3)	5 out of 5	cellular response to phosphate starvation [GO:0016036]; phosphate ion transport [GO:0006817]; protein autophosphorylation [GO:0046777]; regulation of transcription, DNA-templated [GO:0006355]; signal transduction by protein phosphorylation [GO:0023014]	ecj:JW0390;eco:b0400;	PF02518;PF00512;PF00989;PF11808;	AAC73503;BAE76180;	EcoCyc:PHOR-MONOMER;ECOL316407:JW0390-MONOMER;
P16686	phnH b4100 JW4061	Alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnH (RPnTP synthase subunit PhnH) (EC 2.7.8.37)	4 out of 5	organic phosphonate catabolic process [GO:0019700]	ecj:JW4061;eco:b4100;	PF05845;	AAC77061;BAE78103;	EcoCyc:EG10717-MONOMER;ECOL316407:JW4061-MONOMER;MetaCyc:EG10717-MONOMER;
P45548	php yhfV b3379 JW3342	Phosphotriesterase homology protein	3 out of 5	catabolic process [GO:0009056]	ecj:JW3342;eco:b3379;	PF02126;	AAC76404;BAE77912;	EcoCyc:G7731-MONOMER;ECOL316407:JW3342-MONOMER;
P18133	pncB b0931 JW0914	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	4 out of 5	NAD biosynthetic process [GO:0009435]; NAD salvage [GO:0034355]; response to heat [GO:0009408]	ecj:JW0914;eco:b0931;	PF04095;PF17767;	AAC74017;BAA35683;	EcoCyc:NICOTINATEPRIBOSYLTRANS-MONOMER;ECOL316407:JW0914-MONOMER;MetaCyc:NICOTINATEPRIBOSYLTRANS-MONOMER;
P21369	pncA nam ydjB b1768 JW1757	Nicotinamidase (EC 3.5.1.19) (Nicotinamide deamidase) (NAMase) (Pyrazinamidase) (PZAase) (EC 3.5.1.-)	4 out of 5	pyridine nucleotide salvage [GO:0019365]	ecj:JW1757;eco:b1768;	PF00857;	AAC74838;BAA15559;	EcoCyc:NICOTINAMID-MONOMER;ECOL316407:JW1757-MONOMER;MetaCyc:NICOTINAMID-MONOMER;
P02338	tpr b1229 JW1219	Protamine-like protein	1 out of 5		ecj:JW1219;eco:b1229;		AAC74313;BAA36099;	EcoCyc:EG11016-MONOMER;ECOL316407:JW1219-MONOMER;
P60061	adiC aniC yjdD yjdE b4115 JW4076	Arginine/agmatine antiporter	4 out of 5	amino acid transmembrane transport [GO:0003333]; intracellular pH elevation [GO:0051454]	ecj:JW4076;eco:b4115;	PF13520;	AAC77076;BAE78117;	EcoCyc:YJDE-MONOMER;ECOL316407:JW4076-MONOMER;MetaCyc:YJDE-MONOMER;
P15034	pepP b2908 JW2876	Xaa-Pro aminopeptidase (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Aminopeptidase P II) (APP-II) (X-Pro aminopeptidase)	5 out of 5	protein homotetramerization [GO:0051289]	ecj:JW2876;eco:b2908;	PF05195;PF00557;	AAC75946;BAE76973;	EcoCyc:EG10697-MONOMER;ECOL316407:JW2876-MONOMER;
P0AAJ8	hybA b2996 JW2964	Hydrogenase-2 operon protein HybA	3 out of 5	anaerobic glycerol catabolic process [GO:0019588]	ecj:JW2964;eco:b2996;	PF13247;	AAC76032;BAE77057;	EcoCyc:HYBA-MONOMER;ECOL316407:JW2964-MONOMER;MetaCyc:HYBA-MONOMER;
P0CF40	insC1 b0360 JW0351	Transposase InsC for insertion element IS2A	2 out of 5	transposition, DNA-mediated [GO:0006313]	ecj:JW0351;eco:b0360;eco:b1403;eco:b1997;eco:b2861;eco:b3044;eco:b4272;	PF01527;	AAC73463;BAE76141;	EcoCyc:G6212-MONOMER;
P0A707	infC fit srjA b1718 JW5829	Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3, N-terminally processed; Translation initiation factor IF-3S]	5 out of 5	response to cold [GO:0009409]; ribosome disassembly [GO:0032790]	ecj:JW5829;eco:b1718;	PF00707;PF05198;	AAC74788;BAA15485;	EcoCyc:EG10506-MONOMER;ECOL316407:JW5829-MONOMER;
P13029	katG b3942 JW3914	Catalase-peroxidase (CP) (EC 1.11.1.21) (Hydroperoxidase I) (HPI) (Peroxidase/catalase)	5 out of 5	cellular response to hydrogen peroxide [GO:0070301]; hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]	ecj:JW3914;eco:b3942;	PF00141;	AAC76924;BAE77368;	EcoCyc:HYDROPEROXIDI-MONOMER;ECOL316407:JW3914-MONOMER;MetaCyc:HYDROPEROXIDI-MONOMER;
P21599	pykA b1854 JW1843	Pyruvate kinase II (EC 2.7.1.40) (PK-2)	5 out of 5	glycolytic process [GO:0006096]; protein homotetramerization [GO:0051289]	ecj:JW1843;eco:b1854;	PF00224;PF02887;	AAC74924;BAA15662;	EcoCyc:PKII-MONOMER;ECOL316407:JW1843-MONOMER;MetaCyc:PKII-MONOMER;
P25745	mnmA asuE trmU ycfB b1133 JW1119	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	5 out of 5	tRNA wobble position uridine thiolation [GO:0002143]	ecj:JW1119;eco:b1133;		AAC74217;BAA35955;	EcoCyc:EG11344-MONOMER;ECOL316407:JW1119-MONOMER;MetaCyc:EG11344-MONOMER;
P33358	mlrA yehV b2127 JW2115	HTH-type transcriptional regulator MlrA (MerR-like regulator A)	4 out of 5		ecj:JW2115;eco:b2127;	PF13411;	AAC75188;BAE76603;	EcoCyc:EG12008-MONOMER;ECOL316407:JW2115-MONOMER;
P0ACR9	mprA emrR b2684 JW2659	Transcriptional repressor MprA (Protein EmrR)	4 out of 5	negative regulation of transcription, DNA-templated [GO:0045892]; response to antibiotic [GO:0046677]; transcription, DNA-templated [GO:0006351]	ecj:JW2659;eco:b2684;	PF01047;	AAC75731;BAA16546;	EcoCyc:EG10603-MONOMER;ECOL316407:JW2659-MONOMER;
P76264	mntP yebN b1821 JW5830	Probable manganese efflux pump MntP	4 out of 5	manganese ion transmembrane transport [GO:0071421]; response to manganese ion [GO:0010042]	ecj:JW5830;eco:b1821;	PF02659;	AAC74891;BAA15632;	EcoCyc:G6999-MONOMER;ECOL316407:JW5830-MONOMER;MetaCyc:G6999-MONOMER;
P09424	mtlD b3600 JW3574	Mannitol-1-phosphate 5-dehydrogenase (EC 1.1.1.17)	4 out of 5	mannitol catabolic process [GO:0019592]	ecj:JW3574;eco:b3600;	PF01232;PF08125;	AAC76624;BAE77693;	EcoCyc:MANNPDEHYDROG-MONOMER;ECOL316407:JW3574-MONOMER;MetaCyc:MANNPDEHYDROG-MONOMER;
P06722	mutH mutR prv b2831 JW2799	DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein)	5 out of 5	DNA modification [GO:0006304]; mismatch repair [GO:0006298]; regulation of DNA recombination [GO:0000018]	ecj:JW2799;eco:b2831;	PF02976;	AAC75870;BAE76900;	EcoCyc:EG10624-MONOMER;ECOL316407:JW2799-MONOMER;MetaCyc:EG10624-MONOMER;
P0A749	murA murZ b3189 JW3156	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	5 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; UDP-N-acetylgalactosamine biosynthetic process [GO:0019277]	ecj:JW3156;eco:b3189;	PF00275;	AAC76221;BAE77233;	EcoCyc:UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER;ECOL316407:JW3156-MONOMER;MetaCyc:UDPNACETYLGLUCOSAMENOLPYRTRANS-MONOMER;
P76241	nimR yeaM b1790 JW1779	HTH-type transcriptional regulator NimR (Regulator of nimT)	3 out of 5	negative regulation of transcription, DNA-templated [GO:0045892]; regulation of transcription, DNA-templated [GO:0006355]	ecj:JW1779;eco:b1790;	PF02311;PF12833;	AAC74860;BAE76528;	EcoCyc:G6976-MONOMER;ECOL316407:JW1779-MONOMER;
P0A796	pfkA b3916 JW3887	ATP-dependent 6-phosphofructokinase isozyme 1 (ATP-PFK 1) (Phosphofructokinase 1) (EC 2.7.1.11) (6-phosphofructokinase isozyme I) (Phosphohexokinase 1)	5 out of 5	canonical glycolysis [GO:0061621]; cellular carbohydrate catabolic process [GO:0044275]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; glucose catabolic process [GO:0006007]; glycolytic process [GO:0006096]; protein homotetramerization [GO:0051289]	ecj:JW3887;eco:b3916;	PF00365;	AAC76898;BAE77394;	EcoCyc:6PFK-1-MONOMER;ECOL316407:JW3887-MONOMER;MetaCyc:6PFK-1-MONOMER;
P39199	prmB yfcB b2330 JW5841	50S ribosomal protein L3 glutamine methyltransferase (L3 MTase) (EC 2.1.1.298) (N5-glutamine methyltransferase PrmB)	4 out of 5	peptidyl-glutamine methylation [GO:0018364]; protein methylation [GO:0006479]	ecj:JW5841;eco:b2330;	PF05175;	AAC75390;BAA16188;	EcoCyc:EG12449-MONOMER;ECOL316407:JW5841-MONOMER;MetaCyc:EG12449-MONOMER;
P37188	gatB b2093 JW2077	PTS system galactitol-specific EIIB component (EIIB-Gat) (Galactitol-specific phosphotransferase enzyme IIB component) (EC 2.7.1.200)	5 out of 5	galactitol metabolic process [GO:0019402]; galactitol transport [GO:0015796]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	ecj:JW2077;eco:b2093;	PF02302;	AAC75154;BAA15956;	EcoCyc:GATB-MONOMER;ECOL316407:JW2077-MONOMER;MetaCyc:GATB-MONOMER;
P37051	purU tgs ychI b1232 JW1220	Formyltetrahydrofolate deformylase (EC 3.5.1.10) (Formyl-FH(4) hydrolase)	5 out of 5	'de novo' IMP biosynthetic process [GO:0006189]; 10-formyltetrahydrofolate biosynthetic process [GO:0009257]; one-carbon metabolic process [GO:0006730]; purine nucleotide biosynthetic process [GO:0006164]; purine ribonucleotide biosynthetic process [GO:0009152]	ecj:JW1220;eco:b1232;	PF01842;PF00551;	AAC74314;BAA36100;	EcoCyc:FORMYLTHFDEFORMYL-MONOMER;ECOL316407:JW1220-MONOMER;MetaCyc:FORMYLTHFDEFORMYL-MONOMER;
P23830	pssA pss b2585 JW2569	CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8) (Phosphatidylserine synthase)	5 out of 5	cardiolipin biosynthetic process [GO:0032049]; phospholipid biosynthetic process [GO:0008654]	ecj:JW2569;eco:b2585;	PF13091;	AAC75638;BAA16470;	EcoCyc:PHOSPHASERSYN-MONOMER;ECOL316407:JW2569-MONOMER;MetaCyc:PHOSPHASERSYN-MONOMER;
P24241	ascF b2715 JW5435	PTS system arbutin-, cellobiose-, and salicin-specific EIIBC component (EIIBC-Asc) (EII-Asc) [Includes: Arbutin-, cellobiose-, and salicin-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system arbutin-, cellobiose-, and salicin-specific EIIB component); Arbutin, cellobiose, and salicin permease IIC component (PTS system arbutin-, cellobiose-, and salicin-specific EIIC component)]	3 out of 5	carbohydrate transmembrane transport [GO:0034219]; phosphoenolpyruvate-dependent sugar phosphotransferase system [GO:0009401]	ecj:JW5435;eco:b2715;	PF00367;PF02378;	AAT48150;BAE76792;	EcoCyc:ASCF-MONOMER;ECOL316407:JW5435-MONOMER;MetaCyc:ASCF-MONOMER;
P0A972	cspE gicA msmC b0623 JW0618	Cold shock-like protein CspE (CSP-E)	4 out of 5	negative regulation of DNA-templated transcription, termination [GO:0060567]; regulation of gene expression [GO:0010468]	ecj:JW0618;eco:b0623;	PF00313;	AAC73724;BAA35266;	EcoCyc:EG12179-MONOMER;ECOL316407:JW0618-MONOMER;
P0ABJ3	cyoC b0430 JW0420	Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Cytochrome o subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase chain C) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3)	5 out of 5	aerobic electron transport chain [GO:0019646]; aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]	ecj:JW0420;eco:b0430;	PF00510;	AAC73533;BAE76210;	EcoCyc:CYOC-MONOMER;ECOL316407:JW0420-MONOMER;MetaCyc:CYOC-MONOMER;
P0AA76	dgoT yidT b3691 JW5859	D-galactonate transporter	3 out of 5		ecj:JW5859;eco:b3691;	PF07690;	AAC76714;BAE77603;	EcoCyc:YIDT-MONOMER;ECOL316407:JW5859-MONOMER;
P04816	livK b3458 JW3423	Leucine-specific-binding protein (L-BP) (LS-BP)	3 out of 5	leucine transport [GO:0015820]	ecj:JW3423;eco:b3458;	PF13458;	AAC76483;BAE77835;	EcoCyc:LIVK-MONOMER;ECOL316407:JW3423-MONOMER;MetaCyc:LIVK-MONOMER;
P0ACL7	lldR lctR b3604 JW3579	Putative L-lactate dehydrogenase operon regulatory protein	3 out of 5	cellular response to DNA damage stimulus [GO:0006974]	ecj:JW3579;eco:b3604;	PF07729;PF00392;	AAC76628;BAE77688;	EcoCyc:EG11962-MONOMER;ECOL316407:JW3579-MONOMER;
P15005	mcrB rglB b4346 JW5871	5-methylcytosine-specific restriction enzyme B (EC 3.1.21.-) (EcoKMcrBC)	4 out of 5	DNA catabolic process [GO:0006308]; DNA restriction-modification system [GO:0009307]	ecj:JW5871;eco:b4346;	PF07728;PF12102;	AAC77302;BAE78336;	EcoCyc:EG10574-MONOMER;ECOL316407:JW5871-MONOMER;MetaCyc:EG10574-MONOMER;
P0AEY5	mdaB mda66 b3028 JW2996	NADPH:quinone oxidoreductase MdaB (EC 1.6.5.10) (Modulator of drug activity B)	5 out of 5		ecj:JW2996;eco:b3028;	PF02525;	AAC76064;BAE77084;	EcoCyc:EG12656-MONOMER;ECOL316407:JW2996-MONOMER;MetaCyc:EG12656-MONOMER;
P0AAX6	mcbA ybiM b0806 JW5106	Uncharacterized protein McbA (MqsR-controlled colanic acid and biofilm protein A)	3 out of 5	colanic acid biosynthetic process [GO:0009242]	ecj:JW5106;eco:b0806;	PF07338;	AAC73893;BAA35472;	EcoCyc:G6415-MONOMER;ECOL316407:JW5106-MONOMER;
P39386	mdtM yjiO b4337 JW4300	Multidrug resistance protein MdtM	5 out of 5	bile acid and bile salt transport [GO:0015721]; drug transmembrane transport [GO:0006855]; potassium ion export across plasma membrane [GO:0097623]; regulation of cellular pH [GO:0030641]; response to antibiotic [GO:0046677]; sodium ion export across plasma membrane [GO:0036376]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	ecj:JW4300;eco:b4337;	PF07690;	AAC77293;BAE78330;	EcoCyc:YJIO-MONOMER;ECOL316407:JW4300-MONOMER;MetaCyc:YJIO-MONOMER;
P24175	manB cpsG rfbL b2048 JW2033	Phosphomannomutase (PMM) (EC 5.4.2.8)	3 out of 5	GDP-mannose biosynthetic process [GO:0009298]; lipopolysaccharide biosynthetic process [GO:0009103]	ecj:JW2033;eco:b2048;	PF02878;PF02879;PF02880;PF00408;	AAC75109;BAA15901;	EcoCyc:PHOSMANMUT-MONOMER;ECOL316407:JW2033-MONOMER;MetaCyc:PHOSMANMUT-MONOMER;
P77569	mhpR b0346 JW0337	DNA-binding transcriptional activator MhpR (mhp operon transcriptional activator)	2 out of 5	aromatic compound catabolic process [GO:0019439]; negative regulation of transcription, DNA-templated [GO:0045892]	ecj:JW0337;eco:b0346;	PF09339;PF01614;	AAC73449;BAE76128;	EcoCyc:G6201-MONOMER;ECOL316407:JW0337-MONOMER;
P76112	mnaT yncA b1448 JW5233	L-amino acid N-acyltransferase MnaT (EC 2.3.1.-) (L-methionine N-acyltransferase) (L-methionine sulfoximine/L-methionine sulfone N-acetyltransferase) (L-phenylglycine N-acetyltransferase)	4 out of 5		ecj:JW5233;eco:b1448;		AAC74530;BAA15080;	EcoCyc:G6759-MONOMER;ECOL316407:JW5233-MONOMER;MetaCyc:G6759-MONOMER;
P0AFS9	mepM yebA b1856 JW5304	Murein DD-endopeptidase MepM (EC 3.4.24.-) (Murein hydrolase MepM) (ORFU)	5 out of 5	capsule polysaccharide biosynthetic process [GO:0045227]; cell wall organization [GO:0071555]; peptidoglycan metabolic process [GO:0000270]; peptidoglycan turnover [GO:0009254]; septum digestion after cytokinesis [GO:0000920]	ecj:JW5304;eco:b1856;	PF01476;PF08525;PF01551;	AAC74926;BAA15664;	EcoCyc:EG10013-MONOMER;ECOL316407:JW5304-MONOMER;MetaCyc:EG10013-MONOMER;
P37329	modA b0763 JW0746	Molybdate-binding protein ModA (Molybdate/tungstate-binding protein ModA)	5 out of 5	molybdate ion transport [GO:0015689]; response to chromate [GO:0046687]	ecj:JW0746;eco:b0763;		AAC73850;BAA35427;	EcoCyc:MODA-MONOMER;ECOL316407:JW0746-MONOMER;MetaCyc:MODA-MONOMER;
P0A769	mntH yfeP b2392 JW2388	Divalent metal cation transporter MntH	5 out of 5	cadmium ion transport [GO:0015691]; cellular response to iron ion [GO:0071281]; cobalt ion transport [GO:0006824]; iron ion transport [GO:0006826]; manganese ion transport [GO:0006828]; metal ion transport [GO:0030001]	ecj:JW2388;eco:b2392;	PF01566;	AAC75451;BAA16262;	EcoCyc:YFEP-MONOMER;ECOL316407:JW2388-MONOMER;MetaCyc:YFEP-MONOMER;
P0A9G8	modE modR b0761 JW0744	DNA-binding transcriptional dual regulator ModE	5 out of 5	molybdate ion transport [GO:0015689]	ecj:JW0744;eco:b0761;	PF00126;PF03459;	AAC73848;BAA35425;	EcoCyc:MONOMER0-185;ECOL316407:JW0744-MONOMER;
P77182	mnmC yfcK b2324 JW5380	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC (tRNA mnm(5)s(2)U biosynthesis bifunctional protein) [Includes: tRNA (mnm(5)s(2)U34)-methyltransferase (EC 2.1.1.61); FAD-dependent cmnm(5)s(2)U34 oxidoreductase (EC 1.5.-.-)]	5 out of 5	tRNA methylation [GO:0030488]; tRNA wobble uridine modification [GO:0002098]	ecj:JW5380;eco:b2324;	PF01266;PF05430;	AAC75384;BAA16181;	EcoCyc:G7199-MONOMER;ECOL316407:JW5380-MONOMER;MetaCyc:G7199-MONOMER;
P37773	mpl yjfG b4233 JW4192	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase (EC 6.3.2.45) (Murein peptide ligase) (UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase)	5 out of 5	cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]	ecj:JW4192;eco:b4233;	PF01225;PF02875;PF08245;	AAC77190;BAE78233;	EcoCyc:EG12440-MONOMER;ECOL316407:JW4192-MONOMER;MetaCyc:EG12440-MONOMER;
P76096	mokB b1420 JW5882	Regulatory protein MokB	1 out of 5		ecj:JW5882;eco:b1420;		AAC74502;BAE76433;	EcoCyc:G6736-MONOMER;ECOL316407:JW5882-MONOMER;
P76346	mtfA yeeI b1976 JW1958	Protein MtfA (Mlc titration factor A)	4 out of 5	negative regulation of DNA-binding transcription factor activity [GO:0043433]; regulation of DNA-binding transcription factor activity [GO:0051090]	ecj:JW1958;eco:b1976;	PF06167;	AAC75041;BAE76562;	EcoCyc:G7063-MONOMER;ECOL316407:JW1958-MONOMER;MetaCyc:G7063-MONOMER;
P75949	nagZ ycfO b1107 JW1093	Beta-hexosaminidase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	5 out of 5	carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; peptidoglycan turnover [GO:0009254]; regulation of cell shape [GO:0008360]	ecj:JW1093;eco:b1107;	PF00933;	AAC74191;BAA35914;	EcoCyc:G6567-MONOMER;ECOL316407:JW1093-MONOMER;MetaCyc:G6567-MONOMER;
P52647	ydbK b1378 JW1372	Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	3 out of 5	electron transport chain [GO:0022900]; response to oxidative stress [GO:0006979]	ecj:JW1372;eco:b1378;	PF10371;PF17147;PF01558;PF01855;PF02775;	AAC74460;BAA14982;	EcoCyc:G6701-MONOMER;ECOL316407:JW1372-MONOMER;MetaCyc:G6701-MONOMER;
P37646	pdeH yhjH b3525 JW3493	Cyclic di-GMP phosphodiesterase PdeH (EC 3.1.4.52)	4 out of 5	regulation of bacterial-type flagellum-dependent cell motility [GO:1902021]	ecj:JW3493;eco:b3525;	PF00563;	AAC76550;BAE77769;	EcoCyc:EG12252-MONOMER;ECOL316407:JW3493-MONOMER;MetaCyc:EG12252-MONOMER;
P0A794	pdxJ b2564 JW2548	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	5 out of 5	pyridoxine biosynthetic process [GO:0008615]	ecj:JW2548;eco:b2564;	PF03740;	AAC75617;BAE76740;	EcoCyc:PDXJ-MONOMER;ECOL316407:JW2548-MONOMER;MetaCyc:PDXJ-MONOMER;
P19624	pdxA b0052 JW0051	4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262) (4-(phosphohydroxy)-L-threonine dehydrogenase)	5 out of 5	pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]	ecj:JW0051;eco:b0052;	PF04166;	AAC73163;BAB96619;	EcoCyc:PDXA-MONOMER;ECOL316407:JW0051-MONOMER;MetaCyc:PDXA-MONOMER;
P27247	plsX b1090 JW5156	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	3 out of 5	fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]	ecj:JW5156;eco:b1090;	PF02504;	AAC74174;BAA35898;	EcoCyc:EG11437-MONOMER;ECOL316407:JW5156-MONOMER;
